"Ventas diarias","fecha"
9707,"2021-06-15 00:00:00"
52511,"2021-06-16 00:00:00"
3525,"2021-06-17 00:00:00"
7404,"2021-06-18 00:00:00"
125802,"2021-06-19 00:00:00"
76431,"2021-06-20 00:00:00"
105923,"2021-06-21 00:00:00"
96113,"2021-06-22 00:00:00"
13956,"2021-06-23 00:00:00"
77626,"2021-06-24 00:00:00"
124876,"2021-06-26 00:00:00"
7847,"2021-06-27 00:00:00"
126970,"2021-06-28 00:00:00"
145191,"2021-06-29 00:00:00"
144374,"2021-06-30 00:00:00"
151509,"2021-07-01 00:00:00"
139688,"2021-07-02 00:00:00"
126741,"2021-07-03 00:00:00"
108870,"2021-07-04 00:00:00"
120860,"2021-07-05 00:00:00"
97420,"2021-07-06 00:00:00"
185290,"2021-07-07 00:00:00"
167196,"2021-07-08 00:00:00"
144601,"2021-07-09 00:00:00"
151049,"2021-07-10 00:00:00"
72579,"2021-07-11 00:00:00"
108085,"2021-07-12 00:00:00"
160178,"2021-07-13 00:00:00"
115329,"2021-07-14 00:00:00"
135258,"2021-07-15 00:00:00"
158083,"2021-07-16 00:00:00"
